mx1,lam1,lam2,xs,xs_err
1.5,0.5,0.9,0.0925814959627946,0.0001140368433136
1.5,0.5,1.0,0.104393286,0.000814702814
1.5,0.5,2.0,0.192520984302774,0.0003868827101158
1.5,0.6,0.04,0.0003212817357946,1.0247558637808803e-06
1.5,0.6,0.06,0.0007230314192211,7.290078500994604e-07
1.5,0.6,0.08,0.0012847286631793,1.5862264021123718e-06
1.5,0.6,0.1,0.0020206511438037,2.4827736252518023e-06
1.5,0.6,0.15,0.0044856152046648,5.5250634209962485e-06
1.5,0.6,0.2,0.0079136609501613,9.737256701771464e-06
1.5,0.6,0.3,0.0172262233337647,2.121314518459488e-05
1.5,0.6,0.4,0.0294486056034412,3.6227365432746926e-05
1.5,0.6,0.5,0.0435119071409852,5.369037509058593e-05
1.5,0.6,0.6,0.0592316622278887,7.31165102329183e-05
1.5,0.6,0.7,0.0760054740851042,9.370551520795204e-05
1.5,0.6,0.8,0.0930037301562653,0.0001148032039293
1.5,0.6,0.9,0.1099207284526055,0.0001356689265685
1.5,0.6,1.0,0.1260928285298927,0.0001561724177288
1.5,0.6,2.0,0.2554151031685227,0.0005159194202664
1.5,0.7,0.04,0.0003351045142198,1.0654962557210578e-06
1.5,0.7,0.06,0.0007503676240745,7.548089425296456e-07
