sample, xsec [pb], xsec_err [pb]
Signal_1-5_0-3_0-2.0, 0.006945199523447619, 8.52886343167141e-06
Signal_1-5_0-2_0-7.0, 0.023574364517809993, 2.891053369326124e-05
Signal_1-5_0-2_0-1.0, 0.0018399613658672618, 2.240463091295524e-06
Signal_1-5_0-3_0-8.0, 0.045465613339706105, 5.595475814676989e-05
Signal_1-5_0-2_0-6.0, 0.021400075875824095, 2.6315291938861724e-05
Signal_1-5_0-4_0-15.0, 0.0042183888057589795, 5.188807794403243e-06
Signal_1-5_0-2_0-8.0, 0.025158569528292266, 3.0870572518399856e-05
Signal_1-5_0-2_0-5.0, 0.018875535174427575, 2.3152995400654553e-05
Signal_1-5_0-2_1-0.0, 0.027299865841216762, 3.3714139802662e-05
Signal_1-5_0-2_0-9.0, 0.026433280196426455, 3.249300724353788e-05
Signal_1-5_0-3_0-08.0, 0.0012048060066013572, 1.48367596890713e-06
Signal_1-5_0-3_0-15.0, 0.004097298047149219, 5.026733699692121e-06
Signal_1-5_0-4_0-3.0, 0.015412537213685648, 1.8937381935982595e-05
Signal_1-5_0-4_0-2.0, 0.007329835683220224, 9.00818858179411e-06
Signal_1-5_0-4_0-08.0, 0.001239510218064112, 1.5186836393130723e-06
Signal_1-5_0-4_0-1.0, 0.0019293508788802984, 2.3626675815135327e-06
Signal_1-5_0-1_0-8.0, 0.007322546395488825, 9.002548326902464e-06
Signal_1-5_0-3_0-6.0, 0.035438008156665035, 4.337695387765773e-05
Signal_1-5_0-4_0-9.0, 0.07266630304870093, 8.929903635297726e-05
Signal_1-5_0-3_0-4.0, 0.021325750597905837, 2.626930772668823e-05
Signal_1-5_0-3_0-9.0, 0.04965530511758308, 6.113080605928691e-05
Signal_1-5_0-3_0-7.0, 0.040615349354275125, 4.998102407154626e-05
Signal_1-5_0-5_0-15.0, 0.004345651519688291, 5.3499385117489404e-06
Signal_1-5_0-4_0-4.0, 0.02475515782751277, 3.0621029218113806e-05
Signal_1-5_0-4_0-7.0, 0.05479343653801238, 6.77227517824306e-05
Signal_1-5_0-5_0-8.0, 0.0799590969289468, 9.842971616357086e-05
Signal_1-5_0-4_0-5.0, 0.035318872899529084, 4.346299385708375e-05
Signal_1-5_0-5_0-7.0, 0.06661922433138548, 8.214490188297854e-05
Signal_1-0_0-8_0-7.0, 0.5791047415469995, 0.000689195734098731
Signal_1-0_0-8_0-8.0, 0.727594921215142, 0.0008634101928472218
