model,bdt_cut,mx1,b0_ref,sigmab0_ref
v2_2500_4,0.270000,1.500000,0.000000,0.000000
v2_2500_4,0.280000,1.500000,0.000000,0.000000
v2_2500_4,0.290000,1.500000,0.000000,0.000000
v2_2500_4,0.300000,1.500000,0.000000,0.000000
v2_2500_4,-1.000000,2.000000,2808.226872,103.057202
v2_2500_4,-0.300000,2.000000,2808.226872,103.057202
v2_2500_4,-0.290000,2.000000,2808.226872,103.057202
v2_2500_4,-0.280000,2.000000,2808.226872,103.057202
v2_2500_4,-0.270000,2.000000,2808.226872,103.057202
v2_2500_4,-0.260000,2.000000,2808.189352,103.057200
v2_2500_4,-0.250000,2.000000,2808.093153,103.057195
v2_2500_4,-0.240000,2.000000,2807.494460,103.057162
v2_2500_4,-0.230000,2.000000,2805.061939,103.057032
v2_2500_4,-0.220000,2.000000,2794.743345,103.015784
v2_2500_4,-0.210000,2.000000,2778.702537,102.994615
v2_2500_4,-0.200000,2.000000,2752.026373,102.972986
v2_2500_4,-0.190000,2.000000,2699.919122,102.868667
v2_2500_4,-0.180000,2.000000,2615.705132,102.660708
v2_2500_4,-0.170000,2.000000,2519.656020,102.595395
v2_2500_4,-0.160000,2.000000,2390.795140,102.487876
v2_2500_4,-0.150000,2.000000,2223.024071,102.255843
v2_2500_4,-0.140000,2.000000,1939.295462,9.722688
v2_2500_4,-0.130000,2.000000,1741.370363,8.242727
v2_2500_4,-0.120000,2.000000,1539.334756,7.628160
v2_2500_4,-0.110000,2.000000,1335.194949,6.655059
v2_2500_4,-0.100000,2.000000,1139.930931,6.566735
v2_2500_4,-0.090000,2.000000,947.095327,4.582193
v2_2500_4,-0.080000,2.000000,775.871607,2.732206
v2_2500_4,-0.070000,2.000000,630.183540,2.594495
v2_2500_4,-0.060000,2.000000,505.669434,2.478626
v2_2500_4,-0.050000,2.000000,398.555557,1.205704
v2_2500_4,-0.040000,2.000000,310.214164,1.035767
v2_2500_4,-0.030000,2.000000,237.125507,0.876082
v2_2500_4,-0.020000,2.000000,180.850181,0.743831
v2_2500_4,-0.010000,2.000000,135.196583,0.621458
v2_2500_4,0.000000,2.000000,99.732095,0.515834
v2_2500_4,0.010000,2.000000,72.616641,0.424052
v2_2500_4,0.020000,2.000000,52.259198,0.345748
v2_2500_4,0.030000,2.000000,37.642888,0.284178
v2_2500_4,0.040000,2.000000,26.990194,0.233142
v2_2500_4,0.050000,2.000000,19.116379,0.190051
v2_2500_4,0.060000,2.000000,13.505548,0.157084
v2_2500_4,0.070000,2.000000,9.393275,0.125820
v2_2500_4,0.080000,2.000000,6.527477,0.101904
v2_2500_4,0.090000,2.000000,4.591121,0.087290
v2_2500_4,0.100000,2.000000,3.137341,0.066001
v2_2500_4,0.101000,2.000000,3.036773,0.065462
v2_2500_4,0.102000,2.000000,2.933105,0.064891
v2_2500_4,0.103000,2.000000,2.823387,0.063069
v2_2500_4,0.104000,2.000000,2.733273,0.062597
v2_2500_4,0.105000,2.000000,2.632433,0.060894
v2_2500_4,0.106000,2.000000,2.540497,0.060409
v2_2500_4,0.107000,2.000000,2.462389,0.059870
v2_2500_4,0.108000,2.000000,2.384065,0.059461
v2_2500_4,0.109000,2.000000,2.285781,0.057678
v2_2500_4,0.110000,2.000000,2.212774,0.057204
v2_2500_4,0.111000,2.000000,2.119175,0.055117
v2_2500_4,0.112000,2.000000,2.035858,0.054619
v2_2500_4,0.113000,2.000000,1.967470,0.054054
v2_2500_4,0.114000,2.000000,1.914957,0.053816
v2_2500_4,0.115000,2.000000,1.858102,0.053448
v2_2500_4,0.116000,2.000000,1.779727,0.051643
v2_2500_4,0.117000,2.000000,1.717113,0.051346
v2_2500_4,0.118000,2.000000,1.649571,0.050599
v2_2500_4,0.119000,2.000000,1.579514,0.048729
v2_2500_4,0.120000,2.000000,1.517085,0.046867
v2_2500_4,0.121000,2.000000,1.467438,0.046499
v2_2500_4,0.122000,2.000000,1.407550,0.044568
v2_2500_4,0.123000,2.000000,1.359274,0.044264
v2_2500_4,0.124000,2.000000,1.296914,0.042177
v2_2500_4,0.125000,2.000000,1.232584,0.039928
v2_2500_4,0.126000,2.000000,1.189491,0.039667
v2_2500_4,0.127000,2.000000,1.149153,0.039416
v2_2500_4,0.128000,2.000000,1.103802,0.039148
v2_2500_4,0.129000,2.000000,1.051627,0.036835
v2_2500_4,0.130000,2.000000,1.006035,0.036489
v2_2500_4,0.131000,2.000000,0.967693,0.036265
v2_2500_4,0.132000,2.000000,0.930904,0.036012
v2_2500_4,0.133000,2.000000,0.897943,0.035821
v2_2500_4,0.134000,2.000000,0.867251,0.035668
v2_2500_4,0.135000,2.000000,0.826987,0.033279
v2_2500_4,0.136000,2.000000,0.788861,0.033053
v2_2500_4,0.137000,2.000000,0.757245,0.032863
v2_2500_4,0.138000,2.000000,0.730110,0.032598
v2_2500_4,0.139000,2.000000,0.698104,0.032405
v2_2500_4,0.140000,2.000000,0.672769,0.032266
v2_2500_4,0.141000,2.000000,0.633646,0.029564
v2_2500_4,0.142000,2.000000,0.608995,0.029328
v2_2500_4,0.143000,2.000000,0.569790,0.026366
v2_2500_4,0.144000,2.000000,0.537595,0.025904
v2_2500_4,0.145000,2.000000,0.507015,0.025695
v2_2500_4,0.146000,2.000000,0.484094,0.025544
v2_2500_4,0.147000,2.000000,0.457860,0.025363
v2_2500_4,0.148000,2.000000,0.434076,0.025189
v2_2500_4,0.149000,2.000000,0.414759,0.025061
v2_2500_4,0.150000,2.000000,0.394543,0.024927
v2_2500_4,0.151000,2.000000,0.358714,0.021303
v2_2500_4,0.152000,2.000000,0.336737,0.021103
v2_2500_4,0.153000,2.000000,0.320664,0.020974
v2_2500_4,0.154000,2.000000,0.296610,0.020287
v2_2500_4,0.155000,2.000000,0.262579,0.015393
v2_2500_4,0.156000,2.000000,0.245223,0.015204
