stem,hepmc_file,hepmc_size_B,hepmc_size,mc_file,mc_size_B,mc_size,ratio(mc/hepmc),result,reason
zjets.3.1,zjets.3.1.hepmc.gz,2805806313,2.6 GB,zjets.3.1.root,2668242253,2.5 GB,0.9510,O,
zjets.3.10,zjets.3.10.hepmc.gz,2805108741,2.6 GB,zjets.3.10.root,2667288453,2.5 GB,0.9509,O,
zjets.3.11,zjets.3.11.hepmc.gz,2841155155,2.6 GB,zjets.3.11.root,2701733062,2.5 GB,0.9509,O,
zjets.3.12,zjets.3.12.hepmc.gz,2823016390,2.6 GB,zjets.3.12.root,2682826734,2.5 GB,0.9503,O,
zjets.3.13,zjets.3.13.hepmc.gz,2825614886,2.6 GB,zjets.3.13.root,2686748574,2.5 GB,0.9509,O,
zjets.3.14,zjets.3.14.hepmc.gz,2827583775,2.6 GB,zjets.3.14.root,2687956771,2.5 GB,0.9506,O,
zjets.3.15,zjets.3.15.hepmc.gz,2818910380,2.6 GB,zjets.3.15.root,2679516453,2.5 GB,0.9506,O,
zjets.3.16,zjets.3.16.hepmc.gz,2822922880,2.6 GB,zjets.3.16.root,2683075605,2.5 GB,0.9505,O,
zjets.3.17,zjets.3.17.hepmc.gz,2819365255,2.6 GB,zjets.3.17.root,2680770344,2.5 GB,0.9508,O,
zjets.3.18,zjets.3.18.hepmc.gz,2822450668,2.6 GB,zjets.3.18.root,2683106845,2.5 GB,0.9506,O,
zjets.3.19,zjets.3.19.hepmc.gz,2797958085,2.6 GB,zjets.3.19.root,2659811785,2.5 GB,0.9506,O,
zjets.3.2,zjets.3.2.hepmc.gz,2810069337,2.6 GB,zjets.3.2.root,2671819209,2.5 GB,0.9508,O,
zjets.3.20,zjets.3.20.hepmc.gz,2828588051,2.6 GB,zjets.3.20.root,2689175143,2.5 GB,0.9507,O,
